,lat,lng
88,3566672008098.437,3565847991801.7686
89,3566672238224.4146,3565848231707.7217
90,3566672498266.7993,3565848500599.627
91,3566672749552.3726,3565848759037.6196
92,3566672988615.842,3565849005239.747
93,3566673228591.344,3565849252194.244
94,3566673464006.681,3565849495386.89
95,3566673741286.273,3565849777960.064
96,3566674015098.414,3565850053366.018
97,3566674288364.1978,3565850330474.6562
98,3566674559168.14,3565850607167.476
99,3566674792940.092,3565850844697.6426
100,3566675075234.7866,3565851128716.2183
101,3566675350141.798,3565851406102.07
102,3566675617843.9653,3565851678082.7246
103,3566675887278.779,3565851950954.355
104,3566676186629.9995,3565852252811.9385
105,3566676483245.1216,3565852552412.4106
106,3566676766817.5254,3565852839638.4116
107,3566677023026.7827,3565853098908.043
108,3566677289451.2407,3565853367681.2725
109,3566677590809.365,3565853672271.123
110,3566677853402.854,3565853936807.345
111,3566678134602.677,3565854218846.023
112,3566678398837.393,3565854483659.458
113,3566678672103.177,3565854760768.0967
114,3566678942084.3477,3565855031937.0425
115,3566679251193.6743,3565855340229.406
116,3566679552823.899,3565855641275.281
117,3566679857555.899,3565855947033.321
118,3566680134650.4946,3565856222993.7
119,3566680409555.3496,3565856494994.285
120,3566680702975.12,3565856783883.563
121,3566681021933.971,3565857099224.469
122,3566681283339.012,3565857355781.763
123,3566681538359.8228,3565857607072.4673
124,3566681778696.6865,3565857845711.4854
125,3566682056703.316,3565858122424.235
126,3566682279617.978,3565858340769.192
127,3566682552150.252,3565858607582.4536
128,3566682821582.909,3565858875068.818
129,3566683106522.2837,3565859160730.7407
130,3566683398940.7593,3565859453639.1514
131,3566683711060.4414,3565859766029.9155
132,3566684013056.3423,3565860069530.845
133,3566684309580.046,3565860368517.5547
134,3566684578557.764,3565860638320.3667
135,3566684842609.642,3565860901906.274
136,3566685140045.3784,3565861201645.353
137,3566685422614.3296,3565861487505.2197
138,3566685702810.701,3565861768177.7646
139,3566685977898.394,3565862041405.877
140,3566686275697.6484,3565862338214.744
141,3566686535918.5566,3565862597563.644
142,3566686821404.2876,3565862881522.882
143,3566687098681.722,3565863158710.788
144,3566687383895.354,3565863446214.0015
145,3566687666827.824,3565863729143.6562
146,3566687933524.382,3565863994372.91
147,3566688225030.825,3565864286528.951
148,3566688502491.098,3565864564944.3853
149,3566688765448.105,3565864826550.395
150,3566689031141.211,3565865090413.515
151,3566689257066.228,3565865312856.873
152,3566689517467.8174,3565865568048.0337
153,3566689763914.655,3565865810112.351
154,3566690052957.099,3565866096467.3057
155,3566690329868.8574,3565866371200.158
156,3566690613256.266,3565866651813.3647
157,3566690909048.6167,3565866945889.965
158,3566691166350.5884,3565867201754.2266
159,3566691420550.784,3565867452906.3237
160,3566691680406.0166,3565867709800.1685
161,3566691983768.888,3565868011737.02
162,3566692247546.5093,3565868273481.636
163,3566692522268.526,3565868544254.694
164,3566692798906.027,3565868817146.255
165,3566693070071.331,3565869085523.5957
166,3566693259512.8726,3565869272486.8833
167,3566693455521.4834,3565869465944.288
168,3566693721943.7837,3565869729332.2515
169,3566693960090.9062,3565869964011.475
170,3566694214199.6836,3565870214549.8086
171,3566694515189.975,3565870511299.3374
172,3566694802042.6772,3565870793694.497
173,3566695040006.961,3565871027146.194
174,3566695303510.3257,3565871287049.5186
175,3566695585073.6675,3565871566157.9854
176,3566695893179.5415,3565871873084.2144
177,3566696177661.8213,3565872155677.3184
178,3566696483031.5967,3565872460346.4375
179,3566696780010.238,3565872757016.698
180,3566697065770.2256,3565873042817.227
181,3566697307839.7363,3565873282347.222
182,3566697565233.127,3565873538825.248
183,3566697810952.927,3565873786749.9893
184,3566698061507.1484,3565874040277.873
185,3566698324738.4126,3565874303725.1743
186,3566698603931.332,3565874583031.585
187,3566698871905.599,3565874851468.263
188,3566699113792.2715,3565875089770.731
189,3566699365985.5645,3565875338190.5605
190,3566699628668.314,3565875597955.2793
191,3566699866906.8555,3565875833248.2666
192,3566699998248.2305,3565875963130.6265
193,3566700093012.553,3565876051533.885
194,3566700162420.6353,3565876114713.0425
195,3566700195802.3354,3565876145480.9478
196,3566700191242.1704,3565876141719.097
197,3566700196076.5923,3565876147322.2383
